# curie_map:
#   ICD10CM: http://apps.who.int/classifications/icd10/browse/2010/en#/
#   NCI: http://purl.obolibrary.org/obo/NCIT_
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2018-07-05'
# mapping_provider: https://ncit.nci.nih.gov/ncitbrowser/ajax?action=export_maps_to_mapping&target=ICD10CM%202017
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/ncit_icd10_2017.sssom.tsv
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	subject_label	match_type
NCI:C4571	skos:narrowMatch	ICD10CM:C34.92	Malignant neoplasm of unspecified part of left bronchus or lung	Unspecified
NCI:C4571	skos:narrowMatch	ICD10CM:C34.11	Malignant neoplasm of upper lobe, right bronchus or lung	Unspecified
NCI:C4571	skos:narrowMatch	ICD10CM:C34	Malignant neoplasm of bronchus and lung	Unspecified
NCI:C4571	skos:relatedMatch	ICD10CM:C34.80	Malignant neoplasm of overlapping sites of unspecified bronchus and lung	Unspecified
NCI:C4571	skos:narrowMatch	ICD10CM:C34.90	Malignant neoplasm of unspecified part of unspecified bronchus or lung	Unspecified
NCI:C4571	skos:narrowMatch	ICD10CM:C34.0	Malignant neoplasm: Main bronchus	Unspecified
NCI:C4571	skos:narrowMatch	ICD10CM:C34.2	Malignant neoplasm: Middle lobe, bronchus or lung	Unspecified
NCI:C4571	skos:narrowMatch	ICD10CM:C34.02	Malignant neoplasm of left main bronchus	Unspecified
NCI:C4571	skos:narrowMatch	ICD10CM:C34.12	Malignant neoplasm of upper lobe, left bronchus or lung	Unspecified
NCI:C4571	skos:narrowMatch	ICD10CM:C34.10	Malignant neoplasm of upper lobe, unspecified bronchus or lung	Unspecified
NCI:C4571	skos:narrowMatch	ICD10CM:C39.0	Malignant neoplasm: Upper respiratory tract, part unspecified	Unspecified
NCI:C4867	skos:relatedMatch	ICD10CM:C49.9	Malignant neoplasm: Connective and soft tissue, unspecified	Unspecified
NCI:C4867	skos:relatedMatch	ICD10CM:C49.5	Malignant neoplasm: Connective and soft tissue of pelvis	Unspecified
NCI:C4867	skos:relatedMatch	ICD10CM:C49.0	Malignant neoplasm: Connective and soft tissue of head, face and neck	Unspecified
NCI:C4867	skos:relatedMatch	ICD10CM:C49.3	Malignant neoplasm: Connective and soft tissue of thorax	Unspecified
NCI:C4867	skos:relatedMatch	ICD10CM:C49.1	Malignant neoplasm: Connective and soft tissue of upper limb, including shoulder	Unspecified
NCI:C4867	skos:broadMatch	ICD10CM:C49	Malignant neoplasm of other connective and soft tissue	Unspecified
NCI:C4867	skos:relatedMatch	ICD10CM:C49.21	Malignant neoplasm of connective and soft tissue of right lower limb, including hip	Unspecified
NCI:C4867	skos:relatedMatch	ICD10CM:C49.20	Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip	Unspecified
NCI:C4867	skos:relatedMatch	ICD10CM:C49.11	Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder	Unspecified
NCI:C4867	skos:relatedMatch	ICD10CM:C49.6	Malignant neoplasm: Connective and soft tissue of trunk, unspecified	Unspecified
NCI:C4867	skos:relatedMatch	ICD10CM:C49.12	Malignant neoplasm of connective and soft tissue of left upper limb, including shoulder	Unspecified
NCI:C4867	skos:relatedMatch	ICD10CM:C49.22	Malignant neoplasm of connective and soft tissue of left lower limb, including hip	Unspecified
NCI:C4867	skos:relatedMatch	ICD10CM:C49.8	Malignant neoplasm: Overlapping lesion of connective and soft tissue	Unspecified
NCI:C4867	skos:relatedMatch	ICD10CM:C49.4	Malignant neoplasm: Connective and soft tissue of abdomen	Unspecified
NCI:C4867	skos:relatedMatch	ICD10CM:C49.10	Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder	Unspecified
NCI:C4867	skos:relatedMatch	ICD10CM:C49.2	Malignant neoplasm: Connective and soft tissue of lower limb, including hip	Unspecified
NCI:C3510	skos:narrowMatch	ICD10CM:C43.61	Malignant melanoma of right upper limb, including shoulder	Unspecified
NCI:C3510	skos:narrowMatch	ICD10CM:C43.4	Malignant neoplasm: Malignant melanoma of scalp and neck	Unspecified
NCI:C3510	skos:narrowMatch	ICD10CM:C43.31	Malignant melanoma of nose	Unspecified
NCI:C3510	skos:narrowMatch	ICD10CM:C43.72	Malignant melanoma of left lower limb, including hip	Unspecified
NCI:C3510	skos:relatedMatch	ICD10CM:C43.8	Malignant neoplasm: Overlapping malignant melanoma of skin	Unspecified
NCI:C3510	skos:narrowMatch	ICD10CM:C43.30	Malignant melanoma of unspecified part of face	Unspecified
NCI:C3510	skos:narrowMatch	ICD10CM:C43.59	Malignant melanoma of other part of trunk	Unspecified
NCI:C3510	skos:narrowMatch	ICD10CM:C43.39	Malignant melanoma of other parts of face	Unspecified
NCI:C3510	skos:narrowMatch	ICD10CM:C43.0	Malignant neoplasm: Malignant melanoma of lip	Unspecified
NCI:C3510	skos:narrowMatch	ICD10CM:C43.71	Malignant melanoma of right lower limb, including hip	Unspecified
NCI:C3510	skos:narrowMatch	ICD10CM:C43.52	Malignant melanoma of skin of breast	Unspecified
NCI:C3510	skos:narrowMatch	ICD10CM:C43.70	Malignant melanoma of unspecified lower limb, including hip	Unspecified
NCI:C3510	skos:narrowMatch	ICD10CM:C43.60	Malignant melanoma of unspecified upper limb, including shoulder	Unspecified
NCI:C3510	skos:relatedMatch	ICD10CM:C43.9	Malignant neoplasm: Malignant melanoma of skin, unspecified	Unspecified
NCI:C3510	skos:narrowMatch	ICD10CM:C43.6	Malignant neoplasm: Malignant melanoma of upper limb, including shoulder	Unspecified
NCI:C3510	skos:exactMatch	ICD10CM:C43	Malignant melanoma of skin	Unspecified
NCI:C3510	skos:narrowMatch	ICD10CM:C43.5	Malignant neoplasm: Malignant melanoma of trunk	Unspecified
NCI:C18849	skos:narrowMatch	ICD10CM:Z85.89	Personal history of malignant neoplasm of other organs and systems	Unspecified
NCI:C18849	skos:narrowMatch	ICD10CM:Z85.71	Personal history of Hodgkin lymphoma	Unspecified
NCI:C18849	skos:narrowMatch	ICD10CM:Z85.07	Personal history of malignant neoplasm of pancreas	Unspecified
NCI:C18849	skos:narrowMatch	ICD10CM:Z85.46	Personal history of malignant neoplasm of prostate	Unspecified
NCI:C18849	skos:narrowMatch	ICD10CM:Z85.841	Personal history of malignant neoplasm of brain	Unspecified
NCI:C18849	skos:narrowMatch	ICD10CM:Z85.528	Personal history of other malignant neoplasm of kidney	Unspecified
NCI:C18849	skos:narrowMatch	ICD10CM:Z85.831	Personal history of malignant neoplasm of soft tissue	Unspecified
NCI:C18849	skos:narrowMatch	ICD10CM:Z85.038	Personal history of other malignant neoplasm of large intestine	Unspecified
NCI:C18849	skos:narrowMatch	ICD10CM:Z85.43	Personal history of malignant neoplasm of ovary	Unspecified
NCI:C18849	skos:narrowMatch	ICD10CM:Z86.000	Personal history of in-situ neoplasm of breast	Unspecified
NCI:C18849	skos:narrowMatch	ICD10CM:Z85.6	Personal history of leukaemia	Unspecified
NCI:C18849	skos:narrowMatch	ICD10CM:Z85.3	Personal history of malignant neoplasm of breast	Unspecified
NCI:C18849	skos:narrowMatch	ICD10CM:Z85.79	Personal history of other malignant neoplasms of lymphoid, hematopoietic and related tissues	Unspecified
NCI:C18849	skos:narrowMatch	ICD10CM:Z85.72	Personal history of non-Hodgkin lymphomas	Unspecified
NCI:C18849	skos:narrowMatch	ICD10CM:Z85.05	Personal history of malignant neoplasm of liver	Unspecified
NCI:C18849	skos:narrowMatch	ICD10CM:Z85.1	Personal history of malignant neoplasm of trachea, bronchus and lung	Unspecified
NCI:C18849	skos:narrowMatch	ICD10CM:Z85.830	Personal history of malignant neoplasm of bone	Unspecified
NCI:C2920	skos:narrowMatch	ICD10CM:C44.4	Malignant neoplasm: Skin of scalp and neck	Unspecified
NCI:C2920	skos:relatedMatch	ICD10CM:C44.89	Other specified malignant neoplasm of overlapping sites of skin	Unspecified
NCI:C2920	skos:relatedMatch	ICD10CM:C44.9	Malignant neoplasm: Malignant neoplasm of skin, unspecified	Unspecified
NCI:C2920	skos:relatedMatch	ICD10CM:C44.99	Other specified malignant neoplasm of skin, unspecified	Unspecified
NCI:C2920	skos:narrowMatch	ICD10CM:C44.5	Malignant neoplasm: Skin of trunk	Unspecified
NCI:C2920	skos:relatedMatch	ICD10CM:C44	Other malignant neoplasms of skin	Unspecified
NCI:C2920	skos:narrowMatch	ICD10CM:C44.1	Malignant neoplasm: Skin of eyelid, including canthus	Unspecified
NCI:C2920	skos:relatedMatch	ICD10CM:C44.90	Unspecified malignant neoplasm of skin, unspecified	Unspecified
NCI:C2920	skos:narrowMatch	ICD10CM:C44.3	Malignant neoplasm: Skin of other and unspecified parts of face	Unspecified
NCI:C2920	skos:relatedMatch	ICD10CM:C44.300	Unspecified malignant neoplasm of skin of unspecified part of face	Unspecified
NCI:C2920	skos:narrowMatch	ICD10CM:C44.6	Malignant neoplasm: Skin of upper limb, including shoulder	Unspecified
NCI:C2920	skos:narrowMatch	ICD10CM:C44.7	Malignant neoplasm: Skin of lower limb, including hip	Unspecified
NCI:C2920	skos:narrowMatch	ICD10CM:C44.2	Malignant neoplasm: Skin of ear and external auricular canal	Unspecified
NCI:C9305	skos:narrowMatch	ICD10CM:C80.0	Malignant neoplasm, primary site unknown, so stated	Unspecified
NCI:C9305	skos:narrowMatch	ICD10CM:C80	Malignant neoplasm, without specification of site	Unspecified
NCI:C9305	skos:narrowMatch	ICD10CM:C76.5	Malignant neoplasm of other and ill-defined sites: Lower limb	Unspecified
NCI:C9305	skos:narrowMatch	ICD10CM:C76	Malignant neoplasm of other and ill-defined sites	Unspecified
NCI:C9305	skos:relatedMatch	ICD10CM:C76.8	Malignant neoplasm of other and ill-defined sites: Overlapping lesion of other and ill-defined sites	Unspecified
NCI:C9357	skos:exactMatch	ICD10CM:C81	Hodgkin lymphoma	Unspecified
NCI:C9357	skos:relatedMatch	ICD10CM:C81.98	Hodgkin lymphoma, unspecified, lymph nodes of multiple sites	Unspecified
NCI:C9357	skos:relatedMatch	ICD10CM:C81.91	Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck	Unspecified
NCI:C9357	skos:relatedMatch	ICD10CM:C81.9	Hodgkin lymphoma, unspecified	Unspecified
NCI:C9357	skos:relatedMatch	ICD10CM:C81.90	Hodgkin lymphoma, unspecified, unspecified site	Unspecified
NCI:C3161	skos:relatedMatch	ICD10CM:C94	Other leukaemias of specified cell type	Unspecified
NCI:C3161	skos:relatedMatch	ICD10CM:C95.9	Leukaemia, unspecified	Unspecified
NCI:C3161	skos:relatedMatch	ICD10CM:C94.80	Other specified leukemias not having achieved remission	Unspecified
NCI:C3161	skos:relatedMatch	ICD10CM:C95.90	Leukemia, unspecified not having achieved remission	Unspecified
NCI:C3161	skos:relatedMatch	ICD10CM:C95	Leukaemia of unspecified cell type	Unspecified
NCI:C3161	skos:relatedMatch	ICD10CM:C94.8	Other specified leukemias	Unspecified
NCI:C3167	skos:exactMatch	ICD10CM:C91.0	Acute lymphoblastic leukaemia [ALL]	Unspecified
NCI:C3167	skos:relatedMatch	ICD10CM:C91.00	Acute lymphoblastic leukemia not having achieved remission	Unspecified
NCI:C3172	skos:relatedMatch	ICD10CM:C92.9	Myeloid leukaemia, unspecified	Unspecified
NCI:C3172	skos:exactMatch	ICD10CM:C92	Myeloid leukaemia	Unspecified
NCI:C3172	skos:relatedMatch	ICD10CM:C92.Z	Other myeloid leukemia	Unspecified
NCI:C3209	skos:relatedMatch	ICD10CM:C82.9	Follicular lymphoma, unspecified	Unspecified
NCI:C3209	skos:relatedMatch	ICD10CM:C82.90	Follicular lymphoma, unspecified, unspecified site	Unspecified
NCI:C3209	skos:exactMatch	ICD10CM:C82	Follicular lymphoma	Unspecified
NCI:C3209	skos:relatedMatch	ICD10CM:C82.80	Other types of follicular lymphoma, unspecified site	Unspecified
NCI:C9283	skos:relatedMatch	ICD10CM:C81.30	Lymphocyte depleted classical Hodgkin lymphoma, unspecified site	Unspecified
NCI:C9283	skos:exactMatch	ICD10CM:C81.3	Lymphocyte depleted classical Hodgkin lymphoma	Unspecified
NCI:C3518	skos:relatedMatch	ICD10CM:C81.12	Nodular sclerosis classical Hodgkin lymphoma, intrathoracic lymph nodes	Unspecified
NCI:C3518	skos:relatedMatch	ICD10CM:C81.18	Nodular sclerosis classical Hodgkin lymphoma, lymph nodes of multiple sites	Unspecified
NCI:C3518	skos:relatedMatch	ICD10CM:C81.15	Nodular sclerosis classical Hodgkin lymphoma, lymph nodes of inguinal region and lower limb	Unspecified
NCI:C3518	skos:exactMatch	ICD10CM:C81.1	Nodular sclerosis classical Hodgkin lymphoma	Unspecified
NCI:C3518	skos:relatedMatch	ICD10CM:C81.10	Nodular sclerosis classical Hodgkin lymphoma, unspecified site	Unspecified
NCI:C3518	skos:relatedMatch	ICD10CM:C81.11	Nodular sclerosis classical Hodgkin lymphoma, lymph nodes of head, face, and neck	Unspecified
NCI:C7539	skos:relatedMatch	ICD10CM:C91.90	Lymphoid leukemia, unspecified not having achieved remission	Unspecified
NCI:C7539	skos:exactMatch	ICD10CM:C91	Lymphoid leukaemia	Unspecified
NCI:C7539	skos:relatedMatch	ICD10CM:C91.9	Lymphoid leukaemia, unspecified	Unspecified
NCI:C7539	skos:relatedMatch	ICD10CM:C91.Z0	Other lymphoid leukemia not having achieved remission	Unspecified
NCI:C2912	skos:relatedMatch	ICD10CM:C83.79	Burkitt lymphoma, extranodal and solid organ sites	Unspecified
NCI:C2912	skos:relatedMatch	ICD10CM:C83.70	Burkitt lymphoma, unspecified site	Unspecified
NCI:C2912	skos:relatedMatch	ICD10CM:C83.71	Burkitt lymphoma, lymph nodes of head, face, and neck	Unspecified
NCI:C2912	skos:exactMatch	ICD10CM:C83.7	Burkitt lymphoma	Unspecified
NCI:C2912	skos:relatedMatch	ICD10CM:C83.73	Burkitt lymphoma, intra-abdominal lymph nodes	Unspecified
NCI:C2912	skos:relatedMatch	ICD10CM:C83.78	Burkitt lymphoma, lymph nodes of multiple sites	Unspecified
NCI:C7258	skos:relatedMatch	ICD10CM:C81.00	Nodular lymphocyte predominant Hodgkin lymphoma, unspecified site	Unspecified
NCI:C7258	skos:exactMatch	ICD10CM:C81.0	Nodular lymphocyte predominant Hodgkin lymphoma	Unspecified
NCI:C7258	skos:relatedMatch	ICD10CM:C81.08	Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of multiple sites	Unspecified
NCI:C7258	skos:relatedMatch	ICD10CM:C81.04	Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of axilla and upper limb	Unspecified
NCI:C7258	skos:relatedMatch	ICD10CM:C81.05	Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of inguinal region and lower limb	Unspecified
NCI:C7258	skos:relatedMatch	ICD10CM:C81.01	Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of head, face, and neck	Unspecified
NCI:C3247	skos:exactMatch	ICD10CM:D46	Myelodysplastic syndromes	Unspecified
NCI:C3247	skos:relatedMatch	ICD10CM:D46.9	Myelodysplastic syndrome, unspecified	Unspecified
NCI:C4861	skos:relatedMatch	ICD10CM:C93.9	Monocytic leukaemia, unspecified	Unspecified
NCI:C4861	skos:exactMatch	ICD10CM:C93	Monocytic leukaemia	Unspecified
NCI:C4861	skos:relatedMatch	ICD10CM:C93.Z0	Other monocytic leukemia, not having achieved remission	Unspecified
NCI:C2921	skos:relatedMatch	ICD10CM:C44.91	Basal cell carcinoma of skin, unspecified	Unspecified
NCI:C2921	skos:narrowMatch	ICD10CM:C44.111	Basal cell carcinoma of skin of unspecified eyelid, including canthus	Unspecified
NCI:C2921	skos:narrowMatch	ICD10CM:C44.310	Basal cell carcinoma of skin of unspecified parts of face	Unspecified
NCI:C2921	skos:narrowMatch	ICD10CM:C44.519	Basal cell carcinoma of skin of other part of trunk	Unspecified
NCI:C2921	skos:narrowMatch	ICD10CM:C44.112	Basal cell carcinoma of skin of right eyelid, including canthus	Unspecified
NCI:C2921	skos:narrowMatch	ICD10CM:C44.119	Basal cell carcinoma of skin of left eyelid, including canthus	Unspecified
NCI:C2921	skos:narrowMatch	ICD10CM:C44.319	Basal cell carcinoma of skin of other parts of face	Unspecified
NCI:C3171	skos:exactMatch	ICD10CM:C92.0	Acute myeloblastic leukaemia [AML]	Unspecified
NCI:C3171	skos:relatedMatch	ICD10CM:C92.00	Acute myeloblastic leukemia, not having achieved remission	Unspecified
NCI:C3174	skos:relatedMatch	ICD10CM:C92.10	Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission	Unspecified
NCI:C3174	skos:exactMatch	ICD10CM:C92.1	Chronic myeloid leukaemia [CML], BCR/ABL-positive	Unspecified
NCI:C7398	skos:narrowMatch	ICD10CM:C10.2	Malignant neoplasm: Lateral wall of oropharynx	Unspecified
NCI:C7398	skos:relatedMatch	ICD10CM:C10.8	Malignant neoplasm: Overlapping lesion of oropharynx	Unspecified
NCI:C7398	skos:narrowMatch	ICD10CM:C10.3	Malignant neoplasm: Posterior wall of oropharynx	Unspecified
NCI:C7398	skos:narrowMatch	ICD10CM:C09.0	Malignant neoplasm: Tonsillar fossa	Unspecified
NCI:C7398	skos:relatedMatch	ICD10CM:C14.8	Malignant neoplasm: Overlapping lesion of lip, oral cavity and pharynx	Unspecified
NCI:C7398	skos:exactMatch	ICD10CM:C10	Malignant neoplasm of oropharynx	Unspecified
NCI:C7398	skos:narrowMatch	ICD10CM:C09.1	Malignant neoplasm: Tonsillar pillar (anterior)(posterior)	Unspecified
NCI:C7398	skos:relatedMatch	ICD10CM:C10.9	Malignant neoplasm: Oropharynx, unspecified	Unspecified
NCI:C3242	skos:exactMatch	ICD10CM:C90.0	Multiple myeloma	Unspecified
NCI:C3242	skos:relatedMatch	ICD10CM:C90.00	Multiple myeloma not having achieved remission	Unspecified
NCI:C9242	skos:narrowMatch	ICD10CM:C18.4	Malignant neoplasm: Transverse colon	Unspecified
NCI:C9242	skos:relatedMatch	ICD10CM:C18.9	Malignant neoplasm: Colon, unspecified	Unspecified
NCI:C9242	skos:relatedMatch	ICD10CM:C18.8	Malignant neoplasm: Overlapping lesion of colon	Unspecified
NCI:C9242	skos:narrowMatch	ICD10CM:C18.5	Malignant neoplasm: Splenic flexure	Unspecified
NCI:C9242	skos:exactMatch	ICD10CM:C18	Malignant neoplasm of colon	Unspecified
NCI:C9242	skos:narrowMatch	ICD10CM:C18.2	Malignant neoplasm: Ascending colon	Unspecified
