# creator_id: h2
# curie_map:
#   ICD10CM: 'ICD10CM:'
#   IMDRF: IMDRF
#   NCI: http://purl.obolibrary.org/obo/NCIT_
#   UBERON: http://purl.obolibrary.org/obo/UBERON_
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: http://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/mondo-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	match_type	subject_label	subject_category	predicate_label	predicate_modifier	object_label	object_category	author_id	author_label	reviewer_id	reviewer_label	creator_id	creator_label	license	subject_source	subject_source_version	object_source	object_source_version	mapping_provider	mapping_cardinality	mapping_tool	mapping_tool_version	mapping_date	confidence	subject_match_field	object_match_field	match_string	subject_preprocessing	object_preprocessing	match_term_type	semantic_similarity_score	semantic_similarity_measure	see_also	other	comment
NCI:C50804	oboInOwl:hasDbXref	IMDRF:E0511	Unspecified	Blood Vessel Perforation																																	
NCI:C50805	oboInOwl:hasDbXref	IMDRF:E0838	Unspecified	Visual Disturbance																																	
NCI:C50806	oboInOwl:hasDbXref	IMDRF:E0823	Unspecified	Visual Halo																																	
NCI:C50807	oboInOwl:hasDbXref	IMDRF:E081906	Unspecified	Vitreous Detachment																																	
NCI:C50808	oboInOwl:hasDbXref	IMDRF:E083803	Unspecified	Vitreous Floater																																	
NCI:C50831	oboInOwl:hasDbXref	IMDRF:F1901	Unspecified	Additional Surgical Procedure																																	
NCI:C50841	oboInOwl:hasDbXref	IMDRF:E1018	Unspecified	Laceration Of Esophagus																																	
NCI:C50842	oboInOwl:hasDbXref	IMDRF:E062104	Unspecified	Tricuspid Valve Insufficiency																																	
NCI:C50845	oboInOwl:hasDbXref	IMDRF:E1718	Unspecified	Skin Erosion																																	
NCI:C50849	oboInOwl:hasDbXref	IMDRF:E012301	Unspecified	Optical Nerve Damage																																	
NCI:C50810	oboInOwl:hasDbXref	IMDRF:E1208	Unspecified	Weight Fluctuation																																	
NCI:C50811	oboInOwl:hasDbXref	IMDRF:E172007	Unspecified	Wheal																																	
NCI:C50822	oboInOwl:hasDbXref	IMDRF:F2306	Unspecified	Resuscitation																																	
NCI:C50823	oboInOwl:hasDbXref	IMDRF:F1908	Unspecified	Prolonged Surgery																																	
NCI:C50873	oboInOwl:hasDbXref	IMDRF:F1005	Unspecified	Overdose																																	
NCI:C50888	oboInOwl:hasDbXref	IMDRF:E062102	Unspecified	Mitral Valve Insufficiency																																	
NCI:C50850	oboInOwl:hasDbXref	IMDRF:E2113	Unspecified	Oversedated																																	
NCI:C50854	oboInOwl:hasDbXref	IMDRF:E1106	Unspecified	Liver Laceration																																	
NCI:C50856	oboInOwl:hasDbXref	IMDRF:E050602	Unspecified	Exsanguination																																	
NCI:C50859	oboInOwl:hasDbXref	IMDRF:E080701	Unspecified	Stromal Corneal Edema																																	
NCI:C50862	oboInOwl:hasDbXref	IMDRF:F100501	Unspecified	Radiation Overdose																																	
NCI:C50863	oboInOwl:hasDbXref	IMDRF:E2340	Unspecified	Wound Dehiscence																																	
NCI:C3442	oboInOwl:hasDbXref	IMDRF:E1032	Unspecified	Vomiting																																	
NCI:C3432	oboInOwl:hasDbXref	IMDRF:E172006	Unspecified	Urticaria																																	
NCI:C3439	oboInOwl:hasDbXref	IMDRF:E1907	Unspecified	Viral Infection																																	
NCI:C3426	oboInOwl:hasDbXref	IMDRF:E2339	Unspecified	Ulcer																																	
NCI:C3429	oboInOwl:hasDbXref	IMDRF:E2324	Unspecified	Incontinence																																	
NCI:C3507	oboInOwl:hasDbXref	IMDRF:E0405	Unspecified	Immune System Disorder																																	
NCI:C3508	oboInOwl:hasDbXref	IMDRF:E2111	Unspecified	Injection Site Reaction																																	
NCI:C50910	oboInOwl:hasDbXref	IMDRF:E1629	Unspecified	Osteopenia																																	
NCI:C50912	oboInOwl:hasDbXref	IMDRF:F27	Unspecified	Adverse Event without Patient Involvement																																	
NCI:C50914	oboInOwl:hasDbXref	IMDRF:E1612	Unspecified	Inadequate Osteointegration																																	
NCI:C50916	oboInOwl:hasDbXref	IMDRF:E1517	Unspecified	Teratogenic Effect																																	
NCI:C50917	oboInOwl:hasDbXref	IMDRF:E1515	Unspecified	Premature Labor																																	
NCI:C50901	oboInOwl:hasDbXref	IMDRF:E080702	Unspecified	Microcystic Corneal Edema																																	
NCI:C98904	oboInOwl:hasDbXref	IMDRF:E2015	Unspecified	Connective and Soft Tissue Injury																																	
NCI:C98951	oboInOwl:hasDbXref	IMDRF:E1611	Unspecified	Hyperextension																																	
NCI:C50692	oboInOwl:hasDbXref	IMDRF:E0811	Unspecified	Perforation of Cornea																																	
NCI:C50693	oboInOwl:hasDbXref	IMDRF:E1022	Unspecified	Esophageal Perforation																																	
NCI:C50695	oboInOwl:hasDbXref	IMDRF:E1023	Unspecified	Peritoneal Laceration																																	
NCI:C50697	oboInOwl:hasDbXref	IMDRF:E083802	Unspecified	Phosphene Visualization																																	
NCI:C50698	oboInOwl:hasDbXref	IMDRF:E1712	Unspecified	Phototoxicity																																	
NCI:C50699	oboInOwl:hasDbXref	IMDRF:E1713	Unspecified	Pocket Erosion																																	
NCI:C50601	oboInOwl:hasDbXref	IMDRF:E1707	Unspecified	Impaired Healing																																	
NCI:C50602	oboInOwl:hasDbXref	IMDRF:E0839	Unspecified	Impaired Vision																																	
NCI:C50603	oboInOwl:hasDbXref	IMDRF:E2107	Unspecified	Implant Failure																																	
NCI:C50605	oboInOwl:hasDbXref	IMDRF:E2110	Unspecified	Inadequate Pain Relief																																	
NCI:C50607	oboInOwl:hasDbXref	IMDRF:E1509	Unspecified	Incompetent Cervix																																	
NCI:C50608	oboInOwl:hasDbXref	IMDRF:E150102	Unspecified	Incomplete Abortion																																	
NCI:C50609	oboInOwl:hasDbXref	IMDRF:E0720	Unspecified	Increased Forced Expiratory Volume																																	
NCI:C50633	oboInOwl:hasDbXref	IMDRF:E1606	Unspecified	Ligament Injury																																	
NCI:C50634	oboInOwl:hasDbXref	IMDRF:E1104	Unspecified	Liver Dysfunction																																	
NCI:C50635	oboInOwl:hasDbXref	IMDRF:E0119	Unspecified	Loss of Consciousness																																	
NCI:C50637	oboInOwl:hasDbXref	IMDRF:E1616	Unspecified	Loss of Range of Motion																																	
NCI:C50638	oboInOwl:hasDbXref	IMDRF:E083902	Unspecified	Loss of Vision																																	
NCI:C50639	oboInOwl:hasDbXref	IMDRF:E0841	Unspecified	Loss of Vitreous Fluid																																	
NCI:C50640	oboInOwl:hasDbXref	IMDRF:E2203	Unspecified	Low Blood Oxygen Saturation																																	
NCI:C50641	oboInOwl:hasDbXref	IMDRF:E0613	Unspecified	Low Cardiac Output																																	
NCI:C50642	oboInOwl:hasDbXref	IMDRF:E0508	Unspecified	Low Pulmonary Arterial Wedge Pressure																																	
NCI:C50644	oboInOwl:hasDbXref	IMDRF:E0729	Unspecified	Lung Overinflation																																	
NCI:C50645	oboInOwl:hasDbXref	IMDRF:E0727	Unspecified	Mediastinal Shift																																	
NCI:C50610	oboInOwl:hasDbXref	IMDRF:E0714	Unspecified	Increased Peak Expiratory Flowrate																																	
NCI:C50611	oboInOwl:hasDbXref	IMDRF:F0102	Unspecified	Increased Therapeutic Response																																	
NCI:C50613	oboInOwl:hasDbXref	IMDRF:E150103	Unspecified	Induced Abortion Finding																																	
NCI:C50615	oboInOwl:hasDbXref	IMDRF:E233602	Unspecified	Insulin Shock																																	
NCI:C50617	oboInOwl:hasDbXref	IMDRF:E081801	Unspecified	Intraocular Infection																																	
NCI:C50618	oboInOwl:hasDbXref	IMDRF:E0827	Unspecified	Intraocular Pressure Increased																																	
NCI:C50619	oboInOwl:hasDbXref	IMDRF:E2112	Unspecified	Intraoperative Pain																																	
NCI:C50620	oboInOwl:hasDbXref	IMDRF:F0201	Unspecified	Intrauterine Fetal Death																																	
NCI:C50621	oboInOwl:hasDbXref	IMDRF:E0828	Unspecified	Iritis																																	
NCI:C50622	oboInOwl:hasDbXref	IMDRF:E060108	Unspecified	Irregular Pulse																																	
NCI:C50623	oboInOwl:hasDbXref	IMDRF:E020205	Unspecified	Irritability																																	
NCI:C50625	oboInOwl:hasDbXref	IMDRF:E0612	Unspecified	Ischemic Heart Disease																																	
NCI:C50671	oboInOwl:hasDbXref	IMDRF:E233604	Unspecified	Neurogenic Shock																																	
NCI:C50673	oboInOwl:hasDbXref	IMDRF:E1409	Unspecified	Nipple Sensation Change or Loss																																	
NCI:C50674	oboInOwl:hasDbXref	IMDRF:E1410	Unspecified	Nipple Ulceration																																	
NCI:C50675	oboInOwl:hasDbXref	IMDRF:F26	Unspecified	Adverse Event with No Consequence or Impact																																	
NCI:C50679	oboInOwl:hasDbXref	IMDRF:E211401	Unspecified	Organ Perforation																																	
NCI:C106101	oboInOwl:hasDbXref	IMDRF:E2403	Unspecified	Absence of Signs or Symptoms																																	
NCI:C50680	oboInOwl:hasDbXref	IMDRF:E1626	Unspecified	Ossification																																	
NCI:C50681	oboInOwl:hasDbXref	IMDRF:E1627	Unspecified	Osteolysis																																	
NCI:C50683	oboInOwl:hasDbXref	IMDRF:E2103	Unspecified	Device Overstimulation																																	
NCI:C50685	oboInOwl:hasDbXref	IMDRF:E2331	Unspecified	Pallor																																	
NCI:C50686	oboInOwl:hasDbXref	IMDRF:E0810	Unspecified	Pannus Formation																																	
NCI:C50687	oboInOwl:hasDbXref	IMDRF:E012203	Unspecified	Paraplegia																																	
NCI:C50688	oboInOwl:hasDbXref	IMDRF:E012204	Unspecified	Paresis																																	
NCI:C3671	oboInOwl:hasDbXref	IMDRF:E20	Unspecified	Injury																																	
NCI:C3672	oboInOwl:hasDbXref	IMDRF:E230901	Unspecified	Calcification																																	
NCI:C50691	oboInOwl:hasDbXref	IMDRF:E1711	Unspecified	Peeling																																	
NCI:C50652	oboInOwl:hasDbXref	IMDRF:E150104	Unspecified	Missed Abortion																																	
NCI:C50653	oboInOwl:hasDbXref	IMDRF:E0614	Unspecified	Mitral Perforation																																	
NCI:C50654	oboInOwl:hasDbXref	IMDRF:E062202	Unspecified	Mitral Valve Stenosis																																	
NCI:C50658	oboInOwl:hasDbXref	IMDRF:E1621	Unspecified	Muscle Weakness																																	
NCI:C50659	oboInOwl:hasDbXref	IMDRF:E161603	Unspecified	Muscular Rigidity																																	
NCI:C50661	oboInOwl:hasDbXref	IMDRF:E0615	Unspecified	Myocardial Contusion																																	
NCI:C50662	oboInOwl:hasDbXref	IMDRF:E0728	Unspecified	Nasal Obstruction																																	
NCI:C50663	oboInOwl:hasDbXref	IMDRF:E1623	Unspecified	Neck Pain																																	
NCI:C50664	oboInOwl:hasDbXref	IMDRF:E1624	Unspecified	Neck Stiffness																																	
NCI:C50665	oboInOwl:hasDbXref	IMDRF:E2010	Unspecified	Needlestick Puncture																																	
NCI:C50666	oboInOwl:hasDbXref	IMDRF:E1511	Unspecified	Neonatal Deformity																																	
NCI:C50667	oboInOwl:hasDbXref	IMDRF:E1512	Unspecified	Neonatal Hearing Impairment																																	
NCI:C50669	oboInOwl:hasDbXref	IMDRF:E0123	Unspecified	Nerve Damage																																	
NCI:C25754	oboInOwl:hasDbXref	IMDRF:E2325	Unspecified	Infiltration																																	
NCI:C50711	oboInOwl:hasDbXref	IMDRF:E0513	Unspecified	Pseudoaneurysm																																	
NCI:C50712	oboInOwl:hasDbXref	IMDRF:E0735	Unspecified	Pulmonary Dysfunction																																	
NCI:C50713	oboInOwl:hasDbXref	IMDRF:E050303	Unspecified	Pulmonary Embolism																																	
NCI:C50714	oboInOwl:hasDbXref	IMDRF:E0738	Unspecified	Pulmonary Infarction																																	
NCI:C50715	oboInOwl:hasDbXref	IMDRF:E062203	Unspecified	Pulmonary Stenosis																																	
NCI:C50716	oboInOwl:hasDbXref	IMDRF:E0832	Unspecified	Pupillary Block																																	
NCI:C50717	oboInOwl:hasDbXref	IMDRF:E231501	Unspecified	Purulent Discharge																																	
NCI:C50719	oboInOwl:hasDbXref	IMDRF:E190102	Unspecified	Pyogenic Infection																																	
NCI:C50721	oboInOwl:hasDbXref	IMDRF:E012205	Unspecified	Quadriplegia																																	
NCI:C50722	oboInOwl:hasDbXref	IMDRF:E170403	Unspecified	Radiation Burn																																	
NCI:C50723	oboInOwl:hasDbXref	IMDRF:E2116	Unspecified	Radiation Sickness Syndrome																																	
NCI:C50725	oboInOwl:hasDbXref	IMDRF:E0833	Unspecified	Red Eye																																	
NCI:C50728	oboInOwl:hasDbXref	IMDRF:E0739	Unspecified	Respiratory Acidosis																																	
NCI:C50729	oboInOwl:hasDbXref	IMDRF:E0740	Unspecified	Respiratory Alkalosis																																	
NCI:C50700	oboInOwl:hasDbXref	IMDRF:E1207	Unspecified	Polydipsia																																	
NCI:C50701	oboInOwl:hasDbXref	IMDRF:E0404	Unspecified	Positive Antinuclear Antibody Test																																	
NCI:C50702	oboInOwl:hasDbXref	IMDRF:E0801	Unspecified	Posterior Capsular Bag Tear																																	
NCI:C50704	oboInOwl:hasDbXref	IMDRF:E2115	Unspecified	Postoperative Wound Infection																																	
NCI:C50705	oboInOwl:hasDbXref	IMDRF:E2012	Unspecified	Posttraumatic Wound Infection																																	
NCI:C50706	oboInOwl:hasDbXref	IMDRF:E201401	Unspecified	Pressure Sore																																	
NCI:C50750	oboInOwl:hasDbXref	IMDRF:E012401	Unspecified	Spinal Cord Injury																																	
NCI:C50751	oboInOwl:hasDbXref	IMDRF:E1631	Unspecified	Spinal Injury																																	
NCI:C50752	oboInOwl:hasDbXref	IMDRF:E0748	Unspecified	Stacking Breath																																	
NCI:C50754	oboInOwl:hasDbXref	IMDRF:E2337	Unspecified	Stenosis																																	
NCI:C50756	oboInOwl:hasDbXref	IMDRF:E0749	Unspecified	Strangulation																																	
NCI:C50758	oboInOwl:hasDbXref	IMDRF:E1904	Unspecified	Subclinical Infection																																	
NCI:C50765	oboInOwl:hasDbXref	IMDRF:E0308	Unspecified	Swollen Lymph Node																																	
NCI:C50766	oboInOwl:hasDbXref	IMDRF:E1632	Unspecified	Synovitis																																	
NCI:C50767	oboInOwl:hasDbXref	IMDRF:E0716	Unspecified	Tachypnea																																	
NCI:C50731	oboInOwl:hasDbXref	IMDRF:E081904	Unspecified	Retinal Damage																																	
NCI:C50732	oboInOwl:hasDbXref	IMDRF:E081905	Unspecified	Retinal Tear																																	
NCI:C50737	oboInOwl:hasDbXref	IMDRF:E1715	Unspecified	Skin Scar																																	
NCI:C50739	oboInOwl:hasDbXref	IMDRF:E0307	Unspecified	Seroma																																	
NCI:C50741	oboInOwl:hasDbXref	IMDRF:E0745	Unspecified	Sinus Perforation																																	
NCI:C50744	oboInOwl:hasDbXref	IMDRF:E1721	Unspecified	Skin Tear																																	
NCI:C50745	oboInOwl:hasDbXref	IMDRF:E160304	Unspecified	Skull Fracture																																	
NCI:C50746	oboInOwl:hasDbXref	IMDRF:E0746	Unspecified	Sneezing																																	
NCI:C50747	oboInOwl:hasDbXref	IMDRF:E0747	Unspecified	Sore Throat																																	
NCI:C50749	oboInOwl:hasDbXref	IMDRF:E0132	Unspecified	Spinal Arachnoiditis																																	
NCI:C50791	oboInOwl:hasDbXref	IMDRF:E1310	Unspecified	Urinary Tract Infection																																	
NCI:C50792	oboInOwl:hasDbXref	IMDRF:E1304	Unspecified	Urinary Urgency																																	
NCI:C50793	oboInOwl:hasDbXref	IMDRF:E1415	Unspecified	Uterine Perforation																																	
NCI:C50794	oboInOwl:hasDbXref	IMDRF:E0836	Unspecified	Uveitis Glaucoma and Hyphema Syndrome																																	
NCI:C50795	oboInOwl:hasDbXref	IMDRF:E1401	Unspecified	Abnormal Vaginal Discharge																																	
NCI:C50796	oboInOwl:hasDbXref	IMDRF:E0621	Unspecified	Valvular Insufficiency																																	
NCI:C50799	oboInOwl:hasDbXref	IMDRF:E060110	Unspecified	Ventricular Fibrillation																																	
NCI:C50772	oboInOwl:hasDbXref	IMDRF:E0904	Unspecified	Tinnitus																																	
NCI:C50776	oboInOwl:hasDbXref	IMDRF:E010902	Unspecified	Tonic Convulsion																																	
NCI:C50777	oboInOwl:hasDbXref	IMDRF:E1633	Unspecified	Tooth Fracture																																	
NCI:C50778	oboInOwl:hasDbXref	IMDRF:E0129	Unspecified	Tooth Sensitivity																																	
NCI:C50780	oboInOwl:hasDbXref	IMDRF:E190103	Unspecified	Bacterial Toxemia																																	
NCI:C50781	oboInOwl:hasDbXref	IMDRF:E0137	Unspecified	Transient Ischemic Attack																																	
NCI:C50783	oboInOwl:hasDbXref	IMDRF:E062204	Unspecified	Tricuspid Valve Stenosis																																	
NCI:C50784	oboInOwl:hasDbXref	IMDRF:E2117	Unspecified	Twiddler's Syndrome																																	
NCI:C50785	oboInOwl:hasDbXref	IMDRF:E012207	Unspecified	Twitching																																	
NCI:C50787	oboInOwl:hasDbXref	IMDRF:E0138	Unspecified	Undesired Nerve Stimulation																																	
NCI:C50789	oboInOwl:hasDbXref	IMDRF:F0103	Unspecified	Unexpected Therapeutic Effect																																	
NCI:C50790	oboInOwl:hasDbXref	IMDRF:E1309	Unspecified	Urinary Retention																																	
NCI:C3080	oboInOwl:hasDbXref	IMDRF:E0611	Unspecified	Congestive Heart Failure																																	
NCI:C3079	oboInOwl:hasDbXref	IMDRF:E0623	Unspecified	Heart Disorder																																	
NCI:C3064	oboInOwl:hasDbXref	IMDRF:E2317	Unspecified	Granuloma																																	
NCI:C3044	oboInOwl:hasDbXref	IMDRF:E2313	Unspecified	Fibrosis																																	
NCI:C3045	oboInOwl:hasDbXref	IMDRF:E2314	Unspecified	Fistula																																	
NCI:C3046	oboInOwl:hasDbXref	IMDRF:E1603	Unspecified	Fracture																																	
NCI:C3036	oboInOwl:hasDbXref	IMDRF:E2312	Unspecified	Fatigue																																	
NCI:C3038	oboInOwl:hasDbXref	IMDRF:E230101	Unspecified	Fever																																	
NCI:C3020	oboInOwl:hasDbXref	IMDRF:E010903	Unspecified	Seizure Disorder																																	
NCI:C3001	oboInOwl:hasDbXref	IMDRF:E172004	Unspecified	Eczema																																	
NCI:C3002	oboInOwl:hasDbXref	IMDRF:E2338	Unspecified	Edema																																	
NCI:C84687	oboInOwl:hasDbXref	IMDRF:E010201	Unspecified	Encephalocele																																	
NCI:C3090	oboInOwl:hasDbXref	IMDRF:E1302	Unspecified	Hematuria																																	
NCI:C3094	oboInOwl:hasDbXref	IMDRF:E0721	Unspecified	Hemoptysis																																	
NCI:C3095	oboInOwl:hasDbXref	IMDRF:E1102	Unspecified	Hepatitis																																	
NCI:C3197	oboInOwl:hasDbXref	IMDRF:E1403	Unspecified	Breast Lump																																	
NCI:C3199	oboInOwl:hasDbXref	IMDRF:E0711	Unspecified	Chronic Obstructive Pulmonary Disease																																	
NCI:C3158	oboInOwl:hasDbXref	IMDRF:E180103	Unspecified	Leiomyosarcoma																																	
NCI:C3143	oboInOwl:hasDbXref	IMDRF:E1709	Unspecified	Jaundice																																	
NCI:C3131	oboInOwl:hasDbXref	IMDRF:E0403	Unspecified	Immunodeficiency Syndrome																																	
NCI:C3133	oboInOwl:hasDbXref	IMDRF:E141301	Unspecified	Impotence																																	
NCI:C3137	oboInOwl:hasDbXref	IMDRF:E2326	Unspecified	Inflammation																																	
NCI:C3120	oboInOwl:hasDbXref	IMDRF:E0737	Unspecified	Pulmonary Hypertension																																	
NCI:C3126	oboInOwl:hasDbXref	IMDRF:E1206	Unspecified	Hypoglycemia																																	
NCI:C3128	oboInOwl:hasDbXref	IMDRF:E2321	Unspecified	Hypotension																																	
NCI:C3111	oboInOwl:hasDbXref	IMDRF:E0117	Unspecified	Hydrocephalus																																	
NCI:C3113	oboInOwl:hasDbXref	IMDRF:E2323	Unspecified	Hyperplasia																																	
NCI:C3114	oboInOwl:hasDbXref	IMDRF:E0402	Unspecified	Hypersensitivity																																	
NCI:C3117	oboInOwl:hasDbXref	IMDRF:E2320	Unspecified	Hypertension																																	
NCI:C3109	oboInOwl:hasDbXref	IMDRF:E1204	Unspecified	Hot Flashes																																	
NCI:C84731	oboInOwl:hasDbXref	IMDRF:G04094	Unspecified	Packing																																	
NCI:C3280	oboInOwl:hasDbXref	IMDRF:E1803	Unspecified	Nodule																																	
