# curie_map:
#   HP: http://purl.obolibrary.org/obo/HP_
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: http://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2024-11-20'
# mapping_set_id: http://purl.obolibrary.org/obo/mondo/mappings/mondo_hp_lexical.sssom.tsv
# object_source: http://purl.obolibrary.org/obo/hp.owl
# subject_source: http://purl.obolibrary.org/obo/mondo.owl
# mapping_provider: https://monarchinitiative.org/
subject_id	subject_label	object_id	object_label	mapping_justification	predicate_id	comment
MONDO:0000265	aspiration pneumonia	HP:0011951	Aspiration pneumonia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000313	hypophosphatemia	HP:0002148	Hypophosphatemia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000328	hyperphosphatemia	HP:0002905	Hyperphosphatemia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000334	multinodular goiter	HP:0005987	Multinodular goiter	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000351	disorder of methionine catabolism	HP:0003235	Hypermethioninemia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000358	orofacial cleft	HP:0000202	Orofacial cleft	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000365	primary congenital glaucoma	HP:0008007	Primary congenital glaucoma	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000368	extrapulmonary tuberculosis	HP:0032271	Extrapulmonary tuberculosis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000385	benign digestive system neoplasm	HP:0006719	Benign gastrointestinal tract tumors	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000387	hypochromic microcytic anemia	HP:0004840	Hypochromic microcytic anemia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000390	vitelliform macular dystrophy	HP:0007677	Vitelliform-like macular lesions	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000437	cerebellar ataxia	HP:0001251	Ataxia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000437	cerebellar ataxia	HP:0002503	Spinocerebellar tract degeneration	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000440	metabolic acidosis	HP:0001942	Metabolic acidosis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000447	autosomal dominant polycystic liver disease	HP:0006557	Polycystic liver disease	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000447	autosomal dominant polycystic liver disease	HP:0006706	Cystic liver disease	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000448	paraganglioma	HP:0002668	Paraganglioma	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000448	paraganglioma	HP:0006729	Retroperitoneal paraganglioma	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000448	paraganglioma	HP:0030074	Chemodectoma	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000455	cone dystrophy	HP:0008020	Cone dystrophy	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000465	atrioventricular block	HP:0001678	Atrioventricular block	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000466	first-degree atrioventricular block	HP:0011705	First degree atrioventricular block	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000467	second-degree atrioventricular block	HP:0011706	Second degree atrioventricular block	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000468	third-degree atrioventricular block	HP:0001709	Third degree atrioventricular block	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000469	sinoatrial node disorder	HP:0011704	Sick sinus syndrome	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000476	generalized dystonia	HP:0001304	Torsion dystonia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000476	generalized dystonia	HP:0007325	Generalized dystonia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000477	focal dystonia	HP:0004373	Focal dystonia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000481	cervical dystonia	HP:0000473	Torticollis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000482	focal hand dystonia	HP:0002356	Writer's cramp	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000483	oculogyric crisis	HP:0010553	Oculogyric crisis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000485	spasmodic dystonia	HP:0012049	Laryngeal dystonia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000486	craniofacial dystonia	HP:0012179	Craniofacial dystonia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000487	hemidystonia	HP:0032005	Hemidystonia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000490	glomerulosclerosis	HP:0000096	Glomerular sclerosis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000494	renal fibrosis	HP:0030760	Renal fibrosis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000495	oppositional defiant disorder	HP:0010865	Oppositional defiant disorder	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000499	non-arteritic anterior ischemic optic neuropathy	HP:0007634	Nonarteritic anterior ischemic optic neuropathy	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000500	tongue squamous cell carcinoma	HP:0030413	Squamous cell carcinoma of the tongue	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000541	jejunal adenocarcinoma	HP:0030411	Jejunal adenocarcinoma	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000550	extra-adrenal sympathetic paraganglioma	HP:0006737	Extraadrenal pheochromocytoma	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000565	infective endocarditis	HP:0006689	Bacterial endocarditis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000594	pervasive developmental disorder	HP:0000729	Autistic behavior	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000597	Munchausen by proxy	HP:0033032	Triggered by an abusive adult	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000598	aphasia	HP:0002381	Aphasia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000605	hypersensitivity reaction disease	HP:0041092	Emotional hypersensitivity	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000607	primary cutaneous T-cell non-Hodgkin lymphoma	HP:0012192	Cutaneous T-cell lymphoma	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000640	central nervous system primitive neuroectodermal neoplasm	HP:0030070	Central primitive neuroectodermal tumor	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000661	alexithymia	HP:0031433	Alexithymia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000663	anosognosia	HP:0000757	Lack of insight	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000665	apraxia	HP:0002186	Apraxia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000667	auditory agnosia	HP:5200410	Auditory agnosia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000668	autotopagnosia	HP:5200413	Autotopagnosia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000671	finger agnosia	HP:0010525	Finger agnosia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000680	astereognosia	HP:0010527	Astereognosis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000681	tactile agnosia	HP:5200406	Tactile agnosia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000682	time agnosia	HP:5200403	Time agnosia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000683	topographical agnosia	HP:5200407	Topographical agnosia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000685	visual agnosia	HP:0030222	Visual agnosia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000687	diffuse alopecia areata	HP:0002232	Patchy alopecia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000688	inborn organic aciduria	HP:0001992	Organic aciduria	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000694	seasonal affective disorder	HP:5200273	Sadness	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000705	Clostridium difficile colitis	HP:0032168	Clostridium difficile colitis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000709	Crohn ileitis	HP:0032564	Ileitis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000716	agraphia	HP:0010526	Dysgraphia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000721	xanthinuria	HP:0010934	Xanthinuria	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000723	stutter disorder	HP:0025268	Stuttering	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000727	scapuloperoneal myopathy	HP:0009054	Scapuloperoneal myopathy	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000728	ptosis	HP:0000508	Ptosis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000733	cornea plana	HP:0007720	Flat cornea	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000740	adenoid hypertrophy	HP:0040261	Increased size of nasopharyngeal adenoids	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000741	angular cheilitis	HP:0030318	Angular cheilitis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000743	oral hairy leukoplakia	HP:0025126	Oral hairy leukoplakia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000744	lung abscess	HP:0025044	Lung abscess	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000745	cardiac arrest	HP:0001695	Cardiac arrest	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000748	mastoiditis	HP:0000265	Mastoiditis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000749	breast abscess	HP:0020225	Breast abscess	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000750	dental abscess	HP:0030757	Tooth abscess	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000751	cervical polyp	HP:0030159	Cervical polyp	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000754	anal fistula	HP:0010447	Anal fistula	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000755	ectopic pregnancy	HP:0031456	Ectopic pregnancy	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000775	drug allergy	HP:0410323	Drug allergy	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000807	latex allergy	HP:0500094	Latex allergy	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000811	anomalous left coronary artery from the pulmonary artery	HP:0011638	Anomalous origin of left coronary artery from the pulmonary artery	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000814	B-cell adult acute lymphocytic leukemia	HP:0004812	B Acute Lymphoblastic Leukemia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000819	anencephaly	HP:0002323	Anencephaly	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000820	cerebral cavernous malformation	HP:0033522	Cerebral cavernous malformation	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000859	spina bifida occulta	HP:0003298	Spina bifida occulta	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000866	hereditary myoglobinuria	HP:0002913	Myoglobinuria	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000872	B-cell childhood acute lymphoblastic leukemia	HP:0004812	B Acute Lymphoblastic Leukemia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000875	adult acute monocytic leukemia	HP:0004845	Acute monocytic leukemia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000918	endometritis	HP:0025636	Endometritis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000920	duodenum cancer	HP:0006771	Duodenal adenocarcinoma	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000923	interstitial emphysema	HP:0032965	Interstitial emphysema	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000930	nodular malignant melanoma	HP:0012058	Nodular melanoma	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000935	larynx squamous papilloma	HP:0033001	Laryngeal papilloma	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000945	venous insufficiency	HP:0005293	Venous insufficiency	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000948	xerophthalmia	HP:0001097	Keratoconjunctivitis sicca	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000950	asthenopia	HP:0031590	Asthenopia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000980	aortic atherosclerosis	HP:0012397	Aortic atherosclerotic lesion	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0000986	pleurisy	HP:0002102	Pleuritis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001008	blepharophimosis	HP:0000581	Blepharophimosis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001014	chronic leukemia	HP:0005558	Chronic leukemia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001020	amblyopia	HP:0000646	Amblyopia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001029	Klippel-Feil syndrome	HP:0002949	Fused cervical vertebrae	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001029	Klippel-Feil syndrome	HP:0004602	Cervical C2/C3 vertebral fusion	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001036	hypopyon	HP:0031615	Hypopyon	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001044	esophageal atresia	HP:0002032	Esophageal atresia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001045	intestinal atresia	HP:0011100	Intestinal atresia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001046	imperforate anus	HP:0002023	Anal atresia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001046	imperforate anus	HP:0002025	Anal stenosis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001056	gastric cancer	HP:0012126	Stomach cancer	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001059	gastric lymphoma	HP:0045038	Gastric lymphoma	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001065	supine hypotensive syndrome	HP:0008071	Maternal hypertension	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001068	osteomalacia	HP:0002749	Osteomalacia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001071	intellectual disability	HP:0001249	Intellectual disability	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001075	steatorrhea	HP:0002570	Steatorrhea	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001076	glucose intolerance	HP:0001952	Glucose intolerance	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001085	interstitial nephritis	HP:0001969	Abnormal tubulointerstitial morphology	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001085	interstitial nephritis	HP:0001970	Tubulointerstitial nephritis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001099	lactocele	HP:0430075	Mammary blocked duct	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001100	hypertrophy of breast	HP:0010313	Breast hypertrophy	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001105	renal hypertension	HP:0100817	Renovascular hypertension	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001106	kidney failure	HP:0000083	Renal insufficiency	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001117	methemoglobinemia	HP:0012119	Methemoglobinemia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001119	premature menopause	HP:0008209	Premature ovarian insufficiency	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001126	gastric ulcer	HP:0002592	Gastric ulcer	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001142	salivary gland disorder	HP:0010286	Abnormal salivary gland morphology	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001143	paralytic strabismus	HP:0031775	Neurogenic strabismus	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001146	fourth cranial nerve palsy	HP:0007011	Fourth cranial nerve palsy	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001147	meningocele	HP:0002435	Meningocele	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001149	microcephaly	HP:0000252	Microcephaly	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001150	hydrocephalus	HP:0000238	Hydrocephalus	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001156	borderline personality disorder	HP:0012076	Borderline personality disorder	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001158	obsessive-compulsive personality disorder	HP:0000722	Compulsive behaviors	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001160	dissociative disorder	HP:0032940	Dissociation	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001166	nephritis	HP:0000123	Nephritis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001167	spastic diplegia	HP:0001264	Spastic diplegia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001168	spastic hemiplegia	HP:0011099	Spastic hemiparesis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001169	spastic monoplegia	HP:6000316	Spastic monoplegia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001170	hemiplegia	HP:0002301	Hemiplegia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001172	salpingo-oophoritis	HP:0034493	Tubo-ovarian abscess	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001176	lens disorder	HP:0000517	Abnormal lens morphology	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001177	anorectal stricture	HP:0033254	Anorectal stricture	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001179	pinguecula	HP:0031830	Pinguecula	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001209	common wart	HP:0200043	Verrucae	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001210	enophthalmos	HP:0000490	Deeply set eye	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001220	hypoparathyroidism	HP:0000829	Hypoparathyroidism	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001221	esophageal varices	HP:0002040	Esophageal varix	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001223	parathyroid gland disorder	HP:0000828	Abnormality of the parathyroid gland	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001239	anemia of prematurity	HP:0034236	Apnea of prematurity	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001243	disseminated intravascular coagulation	HP:0005521	Disseminated intravascular coagulation	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001244	vitamin K deficiency hemorrhagic disease	HP:0011892	Decreased circulating vitamin K concentration	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001245	microcytic anemia	HP:0001935	Microcytic anemia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001256	arteriovenous hemangioma/malformation	HP:0100026	Arteriovenous malformation	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001257	retinal microaneurysm	HP:0032416	Retinal microaneurysm	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001261	Mobitz type II atrioventricular block	HP:0011708	Mobitz II atrioventricular block	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001266	erysipelas	HP:0001055	Erysipelas	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001268	gingival recession	HP:0030816	Gingival recession	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001271	lens subluxation	HP:0001132	Lens subluxation	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001273	megacolon	HP:0002251	Aganglionic megacolon	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001275	spinal meningioma	HP:0100010	Spinal meningioma	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001280	choroiditis	HP:0012123	Posterior uveitis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001281	alternating exotropia	HP:0031717	Alternating exotropia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001286	exotropia	HP:0000577	Exotropia	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001286	exotropia	HP:0020049	Exodeviation	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001292	autonomic nervous system disorder	HP:0012332	Abnormal autonomic nervous system physiology	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001294	Horner syndrome	HP:0002277	Horner syndrome	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001297	cardiac tamponade	HP:0033415	Cardiac tamponade	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001298	congenital mitral valve insufficiency	HP:0001653	Mitral regurgitation	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001303	abnormal pupillary function	HP:0007686	Abnormal pupillary function	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001305	laryngostenosis	HP:0001602	Laryngeal stenosis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001309	oculomotor nerve paralysis	HP:0012246	Oculomotor nerve palsy	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001314	chondrocalcinosis	HP:0000934	Chondrocalcinosis	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
MONDO:0001328	thyroid hormone resistance syndrome	HP:0002930	Impaired sensitivity to thyroid hormone	semapv:LexicalMatching	skos:closeMatch	Not reviewed by a human
